alpha,seed,policy,budget,k,eta,n_steps,accuracy,acc_last_third,acc_no_dup,acc_dup_only,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,memory_occupancy_max
0.0,2,oracle,192,8,0.0,600,0.94,0.98,0.9381443298969072,1.0,1.0,0.9083333333333333,0.9054982817869416,0.03,3.243333333333333,192
0.0,3,nomemory,192,8,0.0,600,0.33666666666666667,0.325,0.33666666666666667,,,0.0,0.0,0.0,0.0,0
0.0,3,recency,192,8,0.0,600,0.4716666666666667,0.52,0.46790540540540543,0.75,0.42808241141574477,0.945,0.9442567567567568,0.013333333333333334,7.64,192
0.0,3,random,192,8,0.0,600,0.455,0.465,0.4546979865771812,0.5,0.43481641814975147,0.9483333333333334,0.947986577181208,0.006666666666666667,7.64,192
0.0,3,semantic,192,8,0.0,600,0.47,0.475,0.4635416666666667,0.625,0.4470218053551387,0.955,0.953125,0.04,7.64,192
0.0,3,kmeans,192,8,0.0,600,0.44666666666666666,0.5,0.4444444444444444,0.5,0.4301867885201219,0.9583333333333334,0.9565972222222222,0.04,7.64,192
0.0,3,oracle,192,8,0.0,600,0.9333333333333333,0.98,0.9305555555555556,1.0,1.0,0.9083333333333333,0.9045138888888888,0.04,3.335,192
0.0,4,nomemory,192,8,0.0,600,0.35333333333333333,0.335,0.35333333333333333,,,0.0,0.0,0.0,0.0,0
0.0,4,recency,192,8,0.0,600,0.42833333333333334,0.405,0.4261744966442953,0.75,0.3871893538560205,0.92,0.9194630872483222,0.006666666666666667,7.64,192
0.0,4,random,192,8,0.0,600,0.3933333333333333,0.37,0.39297658862876256,0.5,0.38171797338464003,0.9166666666666666,0.9163879598662207,0.0033333333333333335,7.64,192
0.0,4,semantic,192,8,0.0,600,0.4816666666666667,0.485,0.47700170357751276,0.6923076923076923,0.42233245149911813,0.935,0.9335604770017035,0.021666666666666667,7.64,192
0.0,4,kmeans,192,8,0.0,600,0.415,0.365,0.41056218057921634,0.6153846153846154,0.39602773769440436,0.9266666666666666,0.9250425894378195,0.021666666666666667,7.64,192
0.0,4,oracle,192,8,0.0,600,0.9433333333333334,0.98,0.9420783645655877,1.0,1.0,0.905,0.9028960817717206,0.021666666666666667,3.3866666666666667,192
0.5,0,nomemory,192,8,0.0,600,0.3433333333333333,0.295,0.3433333333333333,,,0.0,0.0,0.0,0.0,0
0.5,0,recency,192,8,0.0,600,0.425,0.39,0.42033898305084744,0.7,0.38805715889049225,0.9266666666666666,0.9254237288135593,0.016666666666666666,7.64,192
0.5,0,random,192,8,0.0,600,0.3983333333333333,0.395,0.3942470389170897,0.6666666666666666,0.3817440275773609,0.9266666666666666,0.9255499153976311,0.015,7.64,192
0.5,0,semantic,192,8,0.0,600,0.5233333333333333,0.59,0.5097345132743363,0.7428571428571429,0.45455547538880875,0.9483333333333334,0.9451327433628318,0.058333333333333334,7.64,192
0.5,0,kmeans,192,8,0.0,600,0.48333333333333334,0.545,0.47079646017699117,0.6857142857142857,0.44192921276254615,0.9383333333333334,0.9345132743362832,0.058333333333333334,7.64,192
