policy,space,evict,budget,k,accuracy,acc_last_third,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,alpha,seed,eta,n_steps
rand_proj,rand,fifo,192,8,0.6833333333333333,0.75,0.5607002565335898,0.9633333333333334,0.954070981210856,0.20166666666666666,7.64,1.0,1,0.0,600
sem_proj,sem,fifo,192,8,0.615,0.69,0.5651194484527817,0.9533333333333334,0.941544885177453,0.20166666666666666,7.64,1.0,1,0.0,600
metric,proj,fifo,192,8,0.705,0.8,0.5754308962642296,0.9666666666666667,0.9582463465553236,0.20166666666666666,7.64,1.0,1,0.0,600
eviction,orig,decision,192,8,0.735,0.84,0.5558601891935225,0.97,0.9621848739495799,0.20666666666666667,7.64,1.0,1,0.0,600
full,proj,decision,192,8,0.72,0.76,0.5710117043450377,0.97,0.9620253164556962,0.21,7.64,1.0,1,0.0,600
oracle,orig,fifo,192,8,0.9433333333333334,0.99,1.0,0.9083333333333333,0.8851774530271399,0.20166666666666666,3.256666666666667,1.0,1,0.0,600
nomemory,orig,fifo,192,8,0.32,0.34,,0.0,0.0,0.0,0.0,1.0,2,0.0,600
semantic,orig,fifo,192,8,0.7016666666666667,0.785,0.5747494789161456,0.9666666666666667,0.9586776859504132,0.19333333333333333,7.64,1.0,2,0.0,600
rand_proj,rand,fifo,192,8,0.6783333333333333,0.735,0.5682259098925765,0.9633333333333334,0.9545454545454546,0.19333333333333333,7.64,1.0,2,0.0,600
sem_proj,sem,fifo,192,8,0.6666666666666666,0.77,0.5835878627545295,0.9616666666666667,0.9524793388429752,0.19333333333333333,7.64,1.0,2,0.0,600
metric,proj,fifo,192,8,0.7016666666666667,0.76,0.6040003206669874,0.965,0.9566115702479339,0.19333333333333333,7.64,1.0,2,0.0,600
eviction,orig,decision,192,8,0.6933333333333334,0.78,0.5587562129228796,0.9683333333333334,0.9604989604989606,0.19833333333333333,7.64,1.0,2,0.0,600
full,proj,decision,192,8,0.7366666666666667,0.81,0.5894801186467853,0.9716666666666667,0.9644351464435147,0.20333333333333334,7.64,1.0,2,0.0,600
oracle,orig,fifo,192,8,0.9333333333333333,0.995,1.0,0.9,0.8762886597938144,0.19166666666666668,3.388333333333333,1.0,2,0.0,600
nomemory,orig,fifo,192,8,0.335,0.33,,0.0,0.0,0.0,0.0,1.0,3,0.0,600
semantic,orig,fifo,192,8,0.6966666666666667,0.8,0.583361391694725,0.9716666666666667,0.9639065817409767,0.215,7.64,1.0,3,0.0,600
